,NVDA,GOOGL,GOOG,AAPL,MSFT,AMZN,AVGO,META,TSLA,WMT,BRK-B,LLY,JPM,MU,XOM,V,AMD,INTC,JNJ,ORCL,COST,MA,CAT,CVX,BAC,CSCO,NFLX,ABBV,LRCX,KO,PG,UNH,AMAT,PLTR,HD,GE,MS,GEV,GS,MRK,PM,TXN,WFC,RTX,LIN,KLAC,C,AXP,IBM,ANET,PEP,TMUS,SNDK,MCD,NEE,VZ,ADI,QCOM,T,DIS,AMGN,BA,TMO,STX,TJX,BLK,APH,GILD,APP,SCHW,WDC,ISRG,ETN,UNP,DE,CRM,ABT,WELL,BX,PFE
2015-01-15,18.54,511.0,46.64,9.16,26.4,291.76,147.1,106.31,15.71,83.07,207.88,91.48,101.44,183.72,197.36,75.47,148.26,53.39,60.51,109.32,183.13,147.52,107.38,190.03,158.99,52.79,146.15,109.17,50.13,163.85,161.33,70.26,181.53,152.23,154.64,186.03,172.05,116.6,94.68,167.91,129.14,166.36,181.57,198.79,66.81,135.42,80.38,186.15,127.05,80.93,198.3,202.92,109.49,151.44,122.48,100.32,196.34,210.87,134.07,164.94,64.1,180.66,183.19,135.66,140.3,194.94,144.78,89.79,198.03,68.83,114.26,48.37,150.86,181.77,61.72,65.42,85.19,153.88,141.18,69.78
2015-01-16,17.81,513.03,45.67,8.97,25.38,283.53,149.59,109.86,16.6,84.11,208.52,90.74,103.68,186.24,199.07,73.83,152.01,53.23,59.13,111.09,182.35,148.37,108.38,186.24,162.41,51.58,146.13,106.03,49.79,161.11,159.28,69.35,179.35,145.44,153.91,183.44,164.13,118.8,95.52,164.84,130.36,162.11,178.38,203.69,65.39,137.19,79.47,181.78,123.32,83.5,198.79,202.03,107.89,152.02,124.41,99.45,198.81,212.51,133.24,164.38,64.26,172.29,180.03,136.34,140.14,193.87,144.28,88.56,191.41,69.78,115.51,47.61,150.89,190.64,62.28,63.88,87.79,153.32,143.19,69.71
2015-01-19,17.61,507.98,46.14,9.06,25.37,293.34,153.64,108.07,17.17,84.7,209.63,91.37,103.7,190.77,197.74,73.69,146.14,53.32,59.9,110.74,185.14,145.24,109.22,183.09,165.79,50.33,148.86,105.22,49.5,165.82,159.42,68.05,179.75,153.1,155.78,185.16,162.42,120.95,97.65,162.72,127.38,161.9,173.97,202.28,64.66,134.42,79.14,182.41,123.06,84.26,193.07,200.13,107.47,150.68,123.38,99.66,205.14,208.62,130.38,160.13,64.7,169.94,180.85,136.78,140.91,189.45,139.67,86.66,185.49,69.71,116.56,49.2,152.61,184.77,62.84,65.46,89.23,157.37,144.37,68.82
2015-01-20,17.22,504.92,47.55,9.09,25.68,305.18,152.26,110.22,17.29,86.03,207.43,91.91,103.83,191.61,197.93,73.51,147.53,53.67,57.41,110.74,183.94,147.34,110.02,185.16,167.61,50.9,147.98,107.64,48.97,164.95,159.75,68.4,178.09,144.27,156.07,186.66,163.55,121.5,101.09,160.62,126.56,158.23,172.93,200.85,65.32,134.22,78.08,179.53,127.14,83.86,188.56,196.37,106.81,150.97,124.96,97.7,210.7,204.81,130.94,164.61,67.11,169.78,179.93,134.16,142.45,196.95,137.69,87.47,192.28,70.76,117.18,51.15,151.75,194.87,62.22,65.17,92.13,155.65,146.59,68.37
2015-01-21,16.99,499.1,47.49,9.33,26.02,303.18,150.63,110.0,17.17,87.25,209.11,92.15,101.83,190.96,201.75,74.12,143.84,54.26,55.8,110.07,184.97,150.22,107.29,185.57,167.76,49.97,150.09,106.86,49.24,158.71,158.05,68.88,176.47,145.53,158.95,186.57,170.3,119.32,99.88,160.88,128.35,162.43,171.66,200.32,65.72,136.54,78.99,177.32,127.12,86.58,190.94,194.11,107.54,148.7,125.18,97.67,216.65,201.48,129.71,166.78,67.64,167.43,184.79,133.5,143.55,195.24,145.02,89.14,194.3,72.93,117.03,52.85,152.65,196.29,64.84,65.13,93.55,153.99,151.06,67.44
2015-01-22,15.92,484.76,47.64,9.5,25.72,294.17,156.14,109.71,17.13,86.09,207.15,93.18,101.26,189.7,204.5,74.73,146.06,53.57,54.97,110.68,191.55,148.23,107.8,188.67,169.72,49.27,148.05,110.19,49.08,160.45,154.93,67.84,179.44,149.79,161.69,186.27,165.67,119.41,101.18,159.99,126.57,156.74,168.7,194.17,66.17,133.64,79.06,171.88,126.73,84.47,191.75,189.63,108.96,151.81,124.11,100.44,216.42,199.11,130.18,170.28,66.39,167.62,190.2,133.75,146.95,191.65,145.15,88.91,197.45,70.54,120.12,54.15,156.36,199.89,64.36,64.48,90.45,150.12,148.44,66.63
2015-01-23,15.66,478.74,46.76,9.62,26.41,296.84,158.32,109.92,17.44,84.75,213.44,93.37,101.87,185.92,205.64,73.51,150.83,53.75,55.76,111.06,187.32,146.07,109.35,192.34,168.73,49.3,148.21,114.01,49.3,154.31,159.32,67.14,179.29,150.71,163.01,186.26,164.25,120.7,97.5,160.16,124.37,157.93,176.73,190.56,66.46,129.54,77.48,173.02,123.19,83.9,192.55,191.06,109.13,150.37,123.82,100.73,214.93,199.0,130.08,170.75,65.27,169.85,193.82,128.17,147.27,191.12,145.25,92.29,194.65,71.09,123.72,54.26,155.72,207.31,65.34,63.24,88.0,154.28,149.11,67.43
2015-01-26,15.94,469.57,46.33,9.64,26.36,293.65,156.25,109.15,18.23,87.82,205.97,93.13,101.41,190.92,208.17,73.44,145.79,53.74,56.44,110.2,189.95,150.94,108.74,191.65,162.71,51.07,149.76,112.26,49.44,155.87,158.69,66.63,173.81,157.76,163.89,186.1,159.95,121.99,97.37,160.23,126.5,159.21,176.7,188.86,65.94,124.48,76.52,170.13,122.92,86.04,196.41,192.53,109.72,151.5,124.03,100.1,216.99,200.12,129.39,169.91,64.28,173.23,196.13,126.9,146.21,195.33,148.67,95.92,194.18,71.53,126.61,55.84,157.15,208.5,62.7,64.37,86.54,155.52,153.71,66.86
2015-01-27,17.17,465.85,47.3,9.72,26.2,300.87,157.97,108.22,18.63,86.8,201.59,91.68,104.57,193.76,207.84,72.48,142.4,53.4,56.13,110.96,189.34,153.67,106.55,192.7,159.21,51.3,146.53,112.15,49.52,158.13,160.0,66.7,172.7,155.22,165.78,187.01,155.97,122.86,96.11,161.36,128.5,156.12,171.55,188.78,65.26,128.08,77.19,167.04,124.66,86.19,201.46,185.48,110.23,153.1,120.98,96.75,223.94,203.13,125.77,171.53,63.39,176.06,196.13,125.32,143.92,199.81,149.93,95.16,193.17,71.95,126.67,57.41,157.76,210.99,62.36,66.06,86.96,153.92,157.66,66.52
2015-01-28,17.31,461.74,48.23,9.29,25.86,297.33,156.03,110.84,18.83,87.64,204.69,90.04,102.52,193.25,205.57,72.06,138.61,54.37,57.29,110.9,190.94,152.68,108.25,194.37,163.93,50.74,147.84,109.22,48.11,154.88,162.86,66.72,172.81,153.4,170.06,183.27,149.57,121.49,95.39,157.06,128.67,154.26,174.86,187.18,66.75,126.22,77.19,170.17,125.61,86.48,201.03,182.12,107.8,152.06,121.94,95.64,223.49,201.26,123.03,172.16,63.7,164.13,195.22,124.03,145.65,193.52,150.36,92.95,187.1,69.92,128.31,58.52,158.07,211.82,61.66,66.13,85.17,157.29,159.97,65.08
2015-01-29,17.47,448.66,48.65,9.07,26.28,299.33,152.28,107.14,18.84,89.37,212.7,88.17,102.13,193.83,197.75,71.93,144.16,53.92,57.69,110.15,194.67,152.38,111.35,191.79,166.39,51.71,151.72,107.67,49.36,154.06,164.05,66.7,173.56,153.19,173.66,184.84,143.87,120.14,92.76,160.23,123.74,155.09,177.63,181.31,67.24,124.98,78.57,177.37,124.79,89.2,199.22,185.86,106.1,150.69,123.93,96.31,222.48,201.89,124.22,172.34,64.58,167.54,194.29,121.69,142.67,193.11,147.22,94.48,190.69,70.25,126.93,56.97,156.82,217.73,63.02,64.93,88.18,153.74,163.26,63.97
2015-01-30,17.26,463.06,47.1,9.1,25.92,301.35,151.46,104.0,17.69,89.01,209.54,85.91,104.54,194.55,200.92,73.0,139.42,53.72,58.82,111.89,199.08,149.32,113.04,193.25,168.91,52.22,151.42,104.15,48.95,156.86,165.79,66.01,170.63,160.42,175.9,182.23,137.63,118.23,95.13,159.65,128.19,155.23,175.92,180.69,67.92,128.04,78.04,180.98,128.21,87.55,205.67,181.81,106.63,152.01,119.63,95.17,223.87,202.06,125.13,175.23,64.58,162.75,189.47,123.71,141.3,199.92,146.77,94.52,189.71,67.14,130.01,58.07,158.94,215.26,62.45,63.01,88.87,156.11,160.97,64.82
2015-02-02,16.97,475.29,46.53,9.2,26.18,296.97,147.77,105.66,16.66,88.48,208.94,86.09,105.75,193.15,204.77,72.53,137.28,53.11,60.63,110.6,200.56,144.24,112.87,194.08,168.33,52.24,149.97,100.76,50.12,160.57,166.99,64.39,163.79,161.28,177.41,178.89,139.57,119.45,96.08,164.24,130.33,153.21,179.61,181.37,67.86,127.7,79.7,182.18,126.48,88.19,209.5,180.43,106.97,152.02,123.61,95.22,219.65,197.54,123.08,174.57,64.87,162.72,192.8,124.42,140.62,207.73,150.56,95.59,190.23,67.23,126.61,56.21,156.11,218.07,61.8,62.76,89.81,157.82,165.3,64.28
2015-02-03,17.45,469.74,48.23,9.26,25.97,298.24,147.15,105.69,17.29,89.84,211.1,87.65,105.79,191.34,209.79,73.28,130.55,53.91,59.51,109.2,200.76,144.32,113.16,194.87,165.22,51.75,151.96,100.74,50.42,162.71,169.45,63.87,164.07,163.89,177.98,181.13,139.43,116.07,95.55,161.34,129.24,155.21,185.24,184.63,69.15,130.09,80.41,181.03,124.09,88.58,208.44,177.19,107.28,153.78,126.14,96.22,214.61,197.24,122.9,175.38,64.75,166.95,195.07,126.41,139.01,201.58,149.54,97.55,188.33,66.8,128.27,55.28,158.95,214.65,61.45,62.94,92.04,148.56,168.81,63.4
2015-02-04,17.62,472.57,48.37,9.15,25.91,303.31,145.56,108.09,17.54,89.95,213.49,86.62,103.74,189.04,206.42,73.38,132.77,54.83,58.84,110.14,200.68,143.03,112.54,192.89,162.11,52.89,154.58,101.23,49.85,165.39,166.99,64.22,161.88,155.72,177.96,178.8,136.89,119.79,97.17,158.54,131.26,156.81,182.55,181.09,69.77,127.24,79.21,181.24,123.51,90.78,206.81,180.54,108.58,154.56,122.88,93.89,213.83,197.68,123.54,179.75,64.77,164.88,199.78,125.98,142.73,200.31,150.05,94.96,186.43,64.74,129.25,55.95,156.6,222.9,62.04,64.05,93.31,150.26,172.19,63.85
2015-02-05,17.27,477.19,48.66,9.25,25.42,304.06,144.2,108.98,18.04,90.66,213.44,87.93,104.1,189.73,206.81,74.91,134.02,55.44,56.49,108.6,192.8,145.02,113.69,196.49,166.33,54.09,156.18,100.85,51.33,161.35,169.37,64.26,162.42,164.51,179.05,180.29,135.78,118.1,96.58,158.29,130.77,153.22,187.17,187.27,69.3,126.68,80.61,173.74,123.87,92.3,208.15,174.81,109.97,153.2,123.04,94.83,219.92,197.23,126.52,181.7,65.9,164.6,199.05,128.14,141.37,201.14,152.77,95.52,187.86,63.48,127.55,55.26,157.69,214.24,60.82,63.7,93.13,147.52,172.39,63.33
2015-02-06,16.88,483.79,49.02,9.53,25.75,305.09,146.95,105.48,18.61,91.18,217.3,88.59,103.9,193.68,200.33,74.55,126.7,56.08,56.46,109.84,195.0,145.52,116.13,194.31,170.47,55.57,157.43,98.58,52.44,156.0,174.87,62.48,157.75,162.88,178.02,179.65,138.25,116.41,97.92,157.39,134.15,156.04,183.12,190.58,69.07,127.98,79.81,167.1,124.93,90.42,213.48,176.03,110.67,152.99,122.4,97.92,226.63,199.31,128.77,183.03,65.16,160.26,196.96,126.91,141.27,195.24,152.55,99.55,188.58,64.96,130.66,53.95,159.19,211.66,61.57,64.71,92.92,143.28,170.37,64.3
2015-02-09,16.76,480.6,48.5,9.67,25.69,300.26,148.09,105.16,19.06,90.3,219.57,87.53,105.67,192.95,203.68,73.7,131.6,56.18,58.64,113.12,196.4,144.72,117.54,191.34,176.74,54.55,155.75,101.59,52.23,155.41,176.4,62.54,154.79,160.67,175.76,175.5,145.34,117.36,97.99,156.24,136.99,151.05,179.38,193.72,69.09,125.71,79.39,168.61,124.75,88.38,214.21,177.99,106.52,154.63,124.41,97.22,221.15,202.75,129.31,179.03,64.51,162.88,187.15,125.67,142.23,199.31,154.4,100.03,181.81,62.84,132.18,52.74,156.49,210.81,63.41,63.81,95.09,143.88,168.12,63.88
2015-02-10,16.54,486.99,48.66,9.78,25.73,307.82,146.68,107.45,19.73,89.85,220.39,87.55,106.4,190.44,203.08,74.23,133.5,56.63,58.98,115.38,193.17,142.97,117.25,198.08,176.72,54.92,156.55,102.52,50.82,148.51,180.51,63.14,156.37,158.76,172.81,174.06,146.61,119.61,97.66,154.81,138.69,148.35,177.19,188.4,68.69,129.73,82.08,170.61,127.36,90.54,213.57,180.53,105.5,157.83,121.45,95.05,219.73,206.11,132.11,178.62,64.72,161.88,184.9,128.76,142.75,200.48,156.47,102.5,183.6,63.52,134.79,52.92,156.96,213.96,65.42,62.89,93.69,144.23,162.55,63.65
2015-02-11,16.55,482.28,47.55,9.72,25.82,313.92,147.62,107.59,19.07,91.43,227.98,89.05,108.88,192.95,201.85,72.53,130.29,57.23,59.84,114.1,196.98,139.64,118.96,196.8,179.71,54.86,156.22,101.34,50.26,148.7,184.34,64.46,154.94,160.26,174.72,172.31,145.41,122.3,97.28,157.86,138.59,149.01,185.98,185.89,68.96,128.92,82.14,164.16,130.39,91.32,213.09,179.29,104.2,159.83,119.3,93.47,220.9,206.46,130.72,175.45,63.83,160.1,183.62,133.33,144.05,200.24,161.37,100.39,187.09,63.16,131.68,53.14,159.25,216.11,65.04,64.0,92.49,146.64,163.15,63.95
2015-02-12,16.49,472.02,46.3,9.92,26.05,311.55,151.2,106.6,19.48,91.07,227.07,85.7,112.58,194.04,210.56,72.77,124.86,57.13,61.35,113.59,196.87,136.49,118.73,196.99,176.43,53.82,156.42,100.42,52.31,148.61,182.99,62.7,154.98,156.8,174.84,170.83,140.81,124.4,98.88,160.98,138.85,150.17,183.85,180.42,68.67,129.79,80.72,163.99,133.14,89.9,219.5,181.73,105.66,160.68,120.07,95.56,221.33,204.61,132.15,176.73,62.43,160.15,179.42,133.91,144.67,196.16,161.83,99.88,194.06,62.93,130.64,54.82,157.17,215.85,65.82,64.21,92.2,147.15,168.46,63.71
2015-02-13,16.67,477.4,45.79,9.94,26.06,311.05,148.75,106.2,19.82,91.6,226.48,87.51,113.17,186.29,211.34,73.2,130.72,56.72,63.59,115.37,199.26,134.92,121.09,196.68,182.49,52.5,154.5,100.79,51.58,147.61,183.29,63.26,156.77,153.71,174.19,166.64,138.51,123.25,98.0,161.89,136.03,150.76,186.52,179.79,69.69,130.59,82.5,161.04,132.61,87.72,219.24,187.81,103.68,162.16,120.24,95.13,227.78,204.65,130.51,179.2,63.0,162.94,174.15,131.7,143.38,192.32,165.88,102.22,196.27,65.64,130.48,52.63,161.02,217.77,67.08,63.24,90.38,150.59,171.39,63.49
2015-02-16,16.11,489.46,45.7,10.0,26.25,320.46,145.49,104.7,20.74,90.57,224.71,88.57,113.63,183.81,217.37,74.37,132.0,56.25,64.16,115.29,198.51,136.44,119.25,193.02,183.02,51.65,156.34,105.32,51.16,148.71,187.54,64.06,155.16,154.99,178.24,165.0,138.52,125.64,97.19,161.05,132.41,151.39,187.49,178.93,70.05,132.6,81.06,160.7,130.84,89.55,222.94,188.79,99.83,161.31,118.47,97.02,227.21,205.63,127.54,182.06,62.41,163.71,167.21,131.12,142.57,191.46,167.41,98.62,203.56,67.6,133.25,51.89,161.7,217.85,67.2,65.19,90.54,149.79,175.64,63.81
2015-02-17,16.59,510.27,44.72,10.09,26.54,313.43,142.09,101.93,18.22,92.91,222.91,88.06,113.51,185.53,220.92,74.95,132.81,56.22,65.37,112.81,195.22,138.45,120.61,189.39,186.88,53.16,158.52,107.73,50.63,147.43,191.57,64.14,161.45,151.21,179.49,165.4,133.37,123.87,98.96,159.21,131.15,149.21,190.46,178.11,70.92,128.99,80.46,161.48,134.76,88.38,222.27,197.91,100.87,161.63,116.4,100.12,224.19,205.73,123.67,180.19,63.44,163.34,167.0,131.58,138.73,194.47,169.8,101.66,207.28,67.24,135.97,51.59,161.45,214.57,68.97,66.49,93.7,145.63,176.81,63.39
2015-02-18,18.0,500.8,44.91,10.12,26.61,316.15,143.17,97.69,19.73,93.83,221.39,88.11,110.54,183.39,222.57,75.03,136.68,56.7,65.37,113.88,194.79,138.61,118.83,188.05,184.99,54.68,156.71,107.44,50.77,143.66,187.12,64.64,160.32,150.75,185.5,166.81,131.99,120.08,99.33,161.25,134.66,148.98,198.65,177.27,68.91,127.46,80.89,163.25,135.83,87.69,223.93,195.62,100.83,158.38,116.44,100.45,224.05,202.67,128.05,178.72,64.07,165.63,165.59,132.22,139.5,194.86,175.12,98.67,211.2,68.84,137.0,51.97,163.15,211.53,68.74,65.18,92.05,148.61,179.25,63.24
2015-02-19,18.62,508.76,44.22,9.93,26.31,313.47,147.42,99.39,20.28,94.05,218.32,90.29,108.06,183.62,216.59,76.39,137.41,56.42,65.81,113.48,199.46,142.29,120.84,187.26,187.75,53.95,158.71,107.63,51.27,144.11,185.76,62.88,158.77,150.63,182.05,167.16,130.53,120.7,101.79,161.11,136.22,149.16,196.71,174.48,67.81,128.76,80.24,159.4,137.24,87.73,221.88,198.07,99.08,160.4,115.48,102.67,227.93,200.82,126.24,180.21,62.99,165.74,162.63,131.5,140.12,190.42,175.86,99.97,203.09,69.33,133.71,52.76,165.73,209.04,68.34,64.21,91.22,148.5,182.41,62.95
2015-02-20,18.72,503.97,43.32,9.91,26.19,325.88,150.33,97.2,20.46,95.45,220.64,88.36,109.73,179.77,213.05,76.65,134.48,56.83,67.58,113.9,193.79,142.85,122.42,184.62,187.03,51.11,160.69,110.52,50.22,149.3,183.05,63.48,157.82,153.55,180.76,170.47,131.66,120.8,105.31,162.07,133.33,151.67,202.6,174.24,68.75,131.24,80.87,156.45,135.69,84.6,218.01,200.8,98.64,159.75,111.85,103.67,222.46,201.62,129.32,181.53,62.91,168.68,165.68,131.04,139.45,189.14,172.56,100.95,196.6,70.27,130.13,54.97,166.89,211.06,67.66,64.9,91.87,152.63,183.28,62.52
2015-02-23,19.21,511.38,44.4,10.09,25.9,324.83,153.46,98.49,19.81,95.02,224.0,88.15,112.19,178.0,208.66,75.19,127.8,57.44,66.53,114.21,193.28,143.53,124.1,186.52,187.58,51.37,160.7,113.22,49.79,151.62,180.11,62.85,159.6,152.79,181.15,171.4,131.79,119.14,103.43,164.24,135.9,151.67,207.36,175.95,71.69,133.02,80.65,155.14,136.76,85.11,219.14,201.24,97.94,159.22,110.17,101.12,213.72,202.91,128.15,180.84,62.52,168.17,168.26,130.72,139.88,193.66,169.99,100.9,194.58,70.65,128.28,54.58,165.64,221.17,66.37,65.75,90.41,151.19,181.56,62.34
2015-02-24,18.73,498.69,44.46,10.03,26.45,334.21,147.24,97.24,19.65,96.45,224.18,89.3,111.19,175.03,209.76,75.62,132.3,57.27,66.74,115.01,192.44,142.48,126.76,189.53,188.8,53.23,156.79,114.13,48.07,154.28,177.03,61.66,157.76,150.05,184.93,172.15,131.72,118.52,101.86,160.12,135.92,152.83,202.5,174.65,72.05,134.35,82.54,156.14,139.61,84.32,218.1,199.97,97.26,163.22,111.73,102.24,213.85,208.28,130.52,179.45,62.58,171.37,163.51,135.32,139.46,193.04,175.67,101.38,203.28,69.09,126.77,53.62,164.69,220.56,67.88,67.08,90.42,150.8,176.48,61.83
2015-02-25,17.87,488.5,43.86,10.16,26.8,329.11,145.23,94.03,19.88,94.22,226.1,89.53,110.78,171.19,201.05,74.45,136.68,56.96,65.83,119.06,194.05,141.75,129.34,190.18,187.19,53.35,158.9,111.8,48.38,156.14,178.41,63.42,157.3,151.15,188.09,169.89,132.26,119.39,107.08,163.31,137.31,150.97,210.48,173.07,73.85,132.43,82.27,154.9,138.22,84.94,217.9,201.85,98.16,161.08,112.97,100.97,209.87,205.44,132.33,179.68,63.44,167.3,161.18,134.54,136.08,195.47,180.25,103.67,194.75,68.45,130.64,53.69,164.86,223.53,66.55,67.38,87.68,148.29,176.08,60.98
